loss,acc,val_loss,val_acc
 2.6695 , 0.2613 , 2.3922 , 0.3071
 2.2907 , 0.3397 , 2.2624 , 0.3361
 2.1875 , 0.3676 , 2.1517 , 0.3714
 2.1216 , 0.3855 , 2.0945 , 0.3894
 2.0736 , 0.3971 , 2.0523 , 0.3993
 2.0345 , 0.4065 , 2.0213 , 0.4055
 2.0014 , 0.4128 , 1.9883 , 0.4131
 1.9735 , 0.4183 , 1.9680 , 0.4178
 1.9490 , 0.4243 , 1.9464 , 0.4222
 1.9275 , 0.4291 , 1.9234 , 0.4283
 1.9083 , 0.4338 , 1.9109 , 0.4310
 1.8913 , 0.4387 , 1.8923 , 0.4367
 1.8758 , 0.4431 , 1.8839 , 0.4395
 1.8616 , 0.4470 , 1.8657 , 0.4460
 1.8485 , 0.4501 , 1.8575 , 0.4477
 1.8362 , 0.4532 , 1.8430 , 0.4517
 1.8247 , 0.4558 , 1.8388 , 0.4528
 1.8141 , 0.4588 , 1.8279 , 0.4557
 1.8035 , 0.4613 , 1.8174 , 0.4596
 1.7848 , 0.4661 , 1.8041 , 0.4617
